node,device_type,timestamp,V,I,P,Q,kwh
node1,residential,2025-01-01 06:45:00,225.52,0.005,1.16,0.55,0.2912
node1,residential,2025-01-01 07:00:00,232.05,0.005,1.08,0.54,0.2696
node1,residential,2025-01-01 07:15:00,233.24,0.005,1.09,0.53,0.2717
node1,residential,2025-01-01 07:30:00,228.05,0.004,0.81,0.4,0.2024
node1,residential,2025-01-01 07:45:00,234.86,0.004,0.86,0.37,0.2149
node1,residential,2025-01-01 08:00:00,233.09,0.003,0.8,0.39,0.2002
node1,residential,2025-01-01 08:15:00,234.63,0.004,0.92,0.44,0.2292
node1,residential,2025-01-01 08:30:00,239.76,0.004,1.0,0.51,0.2491
node1,residential,2025-01-01 08:45:00,234.37,0.004,0.86,0.4,0.2139
node1,residential,2025-01-01 09:00:00,237.24,0.001,0.28,0.14,0.0705
node1,residential,2025-01-01 09:15:00,235.36,0.002,0.44,0.26,0.1106
node1,residential,2025-01-01 09:30:00,235.48,0.001,0.2,0.08,0.0508
node1,residential,2025-01-01 09:45:00,240.92,0.002,0.37,0.18,0.092
node1,residential,2025-01-01 10:00:00,229.94,0.001,0.29,0.15,0.0722
node1,residential,2025-01-01 10:15:00,225.19,0.002,0.37,0.16,0.0931
node1,residential,2025-01-01 10:30:00,224.63,0.001,0.21,0.11,0.0516
node1,residential,2025-01-01 10:45:00,222.38,0.001,0.27,0.15,0.0673
node1,residential,2025-01-01 11:00:00,235.24,0.002,0.45,0.24,0.1136
node1,residential,2025-01-01 11:15:00,230.65,0.002,0.5,0.28,0.1244
node1,residential,2025-01-01 11:30:00,219.77,0.001,0.25,0.12,0.0621
node1,residential,2025-01-01 11:45:00,223.33,0.001,0.21,0.08,0.053
node1,residential,2025-01-01 12:00:00,225.37,0.002,0.39,0.17,0.0966
node1,residential,2025-01-01 12:15:00,233.78,0.001,0.32,0.12,0.0795
node1,residential,2025-01-01 12:30:00,219.0,0.001,0.28,0.15,0.0701
node1,residential,2025-01-01 12:45:00,221.67,0.002,0.44,0.25,0.1106
node1,residential,2025-01-01 13:00:00,224.4,0.002,0.44,0.23,0.1111
node1,residential,2025-01-01 13:15:00,230.91,0.002,0.44,0.22,0.1108
node1,residential,2025-01-01 13:30:00,222.28,0.002,0.39,0.19,0.0966
node1,residential,2025-01-01 13:45:00,237.75,0.001,0.32,0.17,0.0793
node1,residential,2025-01-01 14:00:00,223.46,0.001,0.26,0.11,0.0647
node1,residential,2025-01-01 14:15:00,234.5,0.002,0.42,0.21,0.104
node1,residential,2025-01-01 14:30:00,233.94,0.001,0.28,0.14,0.0701
node1,residential,2025-01-01 14:45:00,227.48,0.001,0.31,0.16,0.0784
node1,residential,2025-01-01 15:00:00,219.56,0.002,0.34,0.16,0.0844
node1,residential,2025-01-01 15:15:00,226.82,0.002,0.36,0.16,0.091
node1,residential,2025-01-01 15:30:00,229.88,0.001,0.26,0.12,0.064
node1,residential,2025-01-01 15:45:00,232.93,0.002,0.42,0.22,0.1039
node1,residential,2025-01-01 16:00:00,233.89,0.002,0.36,0.17,0.0894
node1,residential,2025-01-01 16:15:00,238.35,0.002,0.37,0.17,0.0918
node1,residential,2025-01-01 16:30:00,231.89,0.001,0.3,0.14,0.0744
node1,residential,2025-01-01 16:45:00,229.94,0.002,0.46,0.24,0.1155
node1,residential,2025-01-01 17:00:00,235.35,0.001,0.28,0.13,0.07
node1,residential,2025-01-01 17:15:00,219.16,0.001,0.28,0.12,0.0707
node1,residential,2025-01-01 17:30:00,238.98,0.001,0.3,0.16,0.0755
node1,residential,2025-01-01 17:45:00,230.67,0.001,0.32,0.16,0.0794
node1,residential,2025-01-01 18:00:00,227.43,0.005,1.18,0.55,0.2945
node1,residential,2025-01-01 18:15:00,224.28,0.006,1.25,0.62,0.3118
node1,residential,2025-01-01 18:30:00,226.37,0.007,1.48,0.71,0.3705
node1,residential,2025-01-01 18:45:00,227.67,0.005,1.25,0.6,0.3125
node1,residential,2025-01-01 19:00:00,218.82,0.007,1.48,0.73,0.37
node1,residential,2025-01-01 19:15:00,233.42,0.005,1.23,0.62,0.3067
node1,residential,2025-01-01 19:30:00,225.1,0.006,1.35,0.65,0.3381
node1,residential,2025-01-01 19:45:00,225.9,0.006,1.37,0.69,0.3424
node1,residential,2025-01-01 20:00:00,231.82,0.006,1.35,0.65,0.3369
node1,residential,2025-01-01 20:15:00,231.27,0.006,1.47,0.72,0.3685
node1,residential,2025-01-01 20:30:00,238.68,0.006,1.45,0.69,0.3633
node1,residential,2025-01-01 20:45:00,240.87,0.005,1.23,0.57,0.3076
node1,residential,2025-01-01 21:00:00,233.52,0.004,1.01,0.48,0.2535
node1,residential,2025-01-01 21:15:00,236.84,0.006,1.36,0.64,0.3402
node1,residential,2025-01-01 21:30:00,239.57,0.005,1.21,0.54,0.3022
node1,residential,2025-01-01 21:45:00,223.93,0.005,1.01,0.48,0.2528
node1,residential,2025-01-01 22:00:00,225.04,0.001,0.21,0.13,0.0533
node1,residential,2025-01-01 22:15:00,226.31,0.002,0.45,0.23,0.1127
node1,residential,2025-01-01 22:30:00,238.22,0.002,0.43,0.2,0.1084
node1,residential,2025-01-01 22:45:00,233.29,0.001,0.21,0.08,0.052
node1,residential,2025-01-01 23:00:00,234.03,0.002,0.38,0.17,0.0957
node1,residential,2025-01-01 23:15:00,222.92,0.001,0.31,0.16,0.0768
node1,residential,2025-01-01 23:30:00,240.3,0.002,0.45,0.24,0.1113
node1,residential,2025-01-01 23:45:00,230.23,0.002,0.37,0.15,0.0919
node1,residential,2025-01-02 00:00:00,223.04,0.001,0.24,0.09,0.0606
node1,residential,2025-01-02 00:15:00,236.17,0.002,0.5,0.26,0.1245
node1,residential,2025-01-02 00:30:00,221.45,0.001,0.32,0.14,0.0803
node1,residential,2025-01-02 00:45:00,219.56,0.001,0.25,0.12,0.063
node1,residential,2025-01-02 01:00:00,232.13,0.001,0.33,0.16,0.0833
node1,residential,2025-01-02 01:15:00,221.55,0.002,0.34,0.12,0.0846
node1,residential,2025-01-02 01:30:00,222.85,0.002,0.44,0.22,0.1107
node1,residential,2025-01-02 01:45:00,225.76,0.002,0.39,0.18,0.0973
node1,residential,2025-01-02 02:00:00,239.01,0.001,0.35,0.14,0.0884
node1,residential,2025-01-02 02:15:00,223.23,0.002,0.35,0.16,0.087
node1,residential,2025-01-02 02:30:00,230.21,0.001,0.34,0.14,0.0845
node1,residential,2025-01-02 02:45:00,233.86,0.001,0.35,0.17,0.0864
node1,residential,2025-01-02 03:00:00,222.77,0.002,0.42,0.18,0.1049
node1,residential,2025-01-02 03:15:00,232.08,0.001,0.29,0.13,0.0726
node1,residential,2025-01-02 03:30:00,233.12,0.001,0.22,0.13,0.0551
node1,residential,2025-01-02 03:45:00,228.71,0.002,0.36,0.15,0.0899
node1,residential,2025-01-02 04:00:00,231.22,0.002,0.46,0.23,0.1159
node1,residential,2025-01-02 04:15:00,228.78,0.002,0.47,0.24,0.1173
node1,residential,2025-01-02 04:30:00,238.63,0.002,0.43,0.22,0.108
node1,residential,2025-01-02 04:45:00,239.54,0.001,0.33,0.15,0.0831
node1,residential,2025-01-02 05:00:00,240.17,0.001,0.27,0.14,0.0681
node1,residential,2025-01-02 05:15:00,238.16,0.001,0.34,0.16,0.0841
node1,residential,2025-01-02 05:30:00,240.46,0.002,0.48,0.22,0.119
node1,residential,2025-01-02 05:45:00,238.02,0.002,0.48,0.27,0.1206
node1,residential,2025-01-02 06:00:00,225.05,0.004,0.92,0.43,0.2289
node1,residential,2025-01-02 06:15:00,234.56,0.005,1.15,0.56,0.2865
node1,residential,2025-01-02 06:30:00,226.82,0.005,1.13,0.55,0.2816
node1,residential,2025-01-02 06:45:00,237.32,0.004,0.83,0.41,0.2078
node1,residential,2025-01-02 07:00:00,229.51,0.004,0.99,0.48,0.247
node1,residential,2025-01-02 07:15:00,224.76,0.005,1.14,0.55,0.2856
node1,residential,2025-01-02 07:30:00,232.09,0.005,1.13,0.57,0.282
node1,residential,2025-01-02 07:45:00,221.2,0.005,1.15,0.55,0.2871
node1,residential,2025-01-02 08:00:00,227.04,0.005,1.1,0.54,0.2761
node1,residential,2025-01-02 08:15:00,222.61,0.004,0.86,0.42,0.2155
node1,residential,2025-01-02 08:30:00,227.18,0.004,0.9,0.42,0.226
node1,residential,2025-01-02 08:45:00,225.06,0.005,1.01,0.5,0.2534
node1,residential,2025-01-02 09:00:00,224.23,0.001,0.32,0.15,0.0806
node1,residential,2025-01-02 09:15:00,237.27,0.001,0.34,0.17,0.0846
node1,residential,2025-01-02 09:30:00,238.05,0.001,0.2,0.06,0.0507
node1,residential,2025-01-02 09:45:00,220.53,0.002,0.41,0.22,0.1016
node1,residential,2025-01-02 10:00:00,222.05,0.001,0.33,0.17,0.0826
node1,residential,2025-01-02 10:15:00,228.81,0.001,0.28,0.14,0.0702
node1,residential,2025-01-02 10:30:00,238.93,0.001,0.25,0.11,0.0627
node1,residential,2025-01-02 10:45:00,218.82,0.002,0.49,0.26,0.122
node1,residential,2025-01-02 11:00:00,237.01,0.002,0.47,0.24,0.1168
node1,residential,2025-01-02 11:15:00,233.35,0.002,0.41,0.19,0.1027
node1,residential,2025-01-02 11:30:00,237.2,0.002,0.45,0.21,0.1119
node1,residential,2025-01-02 11:45:00,231.3,0.001,0.27,0.12,0.0676
node1,residential,2025-01-02 12:00:00,228.91,0.002,0.41,0.21,0.1017
node1,residential,2025-01-02 12:15:00,239.92,0.002,0.4,0.22,0.1011
node1,residential,2025-01-02 12:30:00,224.63,0.001,0.28,0.15,0.0698
node1,residential,2025-01-02 12:45:00,228.36,0.001,0.32,0.16,0.0797
node1,residential,2025-01-02 13:00:00,231.96,0.001,0.26,0.12,0.0638
node1,residential,2025-01-02 13:15:00,232.77,0.001,0.29,0.16,0.0733
node1,residential,2025-01-02 13:30:00,223.16,0.002,0.49,0.25,0.1222
node1,residential,2025-01-02 13:45:00,235.65,0.001,0.26,0.15,0.0657
node1,residential,2025-01-02 14:00:00,226.11,0.002,0.37,0.19,0.093
node1,residential,2025-01-02 14:15:00,220.19,0.001,0.32,0.19,0.0811
node1,residential,2025-01-02 14:30:00,219.82,0.002,0.38,0.17,0.0957
node1,residential,2025-01-02 14:45:00,222.13,0.002,0.4,0.16,0.0996
node1,residential,2025-01-02 15:00:00,240.58,0.002,0.5,0.25,0.1247
node1,residential,2025-01-02 15:15:00,241.5,0.001,0.2,0.12,0.0502
node1,residential,2025-01-02 15:30:00,225.98,0.001,0.24,0.11,0.0598
node1,residential,2025-01-02 15:45:00,229.91,0.002,0.36,0.2,0.0889
node1,residential,2025-01-02 16:00:00,227.82,0.001,0.24,0.12,0.0605
node1,residential,2025-01-02 16:15:00,228.23,0.001,0.33,0.15,0.0813
node1,residential,2025-01-02 16:30:00,219.68,0.001,0.26,0.13,0.0659
node1,residential,2025-01-02 16:45:00,220.05,0.002,0.34,0.16,0.0847
node1,residential,2025-01-02 17:00:00,234.16,0.001,0.34,0.18,0.0838
node1,residential,2025-01-02 17:15:00,222.54,0.001,0.21,0.14,0.0515
node1,residential,2025-01-02 17:30:00,241.28,0.001,0.33,0.16,0.0814
node1,residential,2025-01-02 17:45:00,229.57,0.001,0.32,0.15,0.0791
node1,residential,2025-01-02 18:00:00,222.07,0.006,1.24,0.6,0.3112
node1,residential,2025-01-02 18:15:00,233.17,0.004,0.96,0.46,0.2398
node1,residential,2025-01-02 18:30:00,237.73,0.005,1.17,0.55,0.2931
node1,residential,2025-01-02 18:45:00,229.61,0.006,1.41,0.72,0.3537
node1,residential,2025-01-02 19:00:00,232.38,0.005,1.08,0.54,0.2705
node1,residential,2025-01-02 19:15:00,235.96,0.005,1.08,0.52,0.2709
node1,residential,2025-01-02 19:30:00,231.72,0.005,1.23,0.63,0.3079
node1,residential,2025-01-02 19:45:00,224.59,0.006,1.4,0.65,0.3499
node1,residential,2025-01-02 20:00:00,223.2,0.004,0.94,0.46,0.2347
node1,residential,2025-01-02 20:15:00,241.35,0.005,1.26,0.61,0.3147
node1,residential,2025-01-02 20:30:00,240.56,0.004,0.98,0.48,0.2441
node1,residential,2025-01-02 20:45:00,235.81,0.006,1.38,0.68,0.3453
node1,residential,2025-01-02 21:00:00,224.61,0.004,0.9,0.43,0.2251
node1,residential,2025-01-02 21:15:00,234.08,0.005,1.17,0.57,0.2937
node1,residential,2025-01-02 21:30:00,229.24,0.004,1.01,0.53,0.2527
node1,residential,2025-01-02 21:45:00,235.99,0.005,1.25,0.6,0.3124
node1,residential,2025-01-02 22:00:00,234.25,0.002,0.42,0.19,0.1056
node1,residential,2025-01-02 22:15:00,228.67,0.001,0.2,0.12,0.0505
node1,residential,2025-01-02 22:30:00,220.08,0.001,0.23,0.1,0.0571
node1,residential,2025-01-02 22:45:00,237.2,0.001,0.3,0.15,0.0753
node1,residential,2025-01-02 23:00:00,230.26,0.001,0.3,0.11,0.0749
node1,residential,2025-01-02 23:15:00,221.18,0.002,0.4,0.19,0.0989
node1,residential,2025-01-02 23:30:00,232.21,0.002,0.49,0.21,0.1222
node1,residential,2025-01-02 23:45:00,239.82,0.001,0.21,0.14,0.0531
node1,residential,2025-01-03 00:00:00,238.27,0.001,0.22,0.14,0.0551
node1,residential,2025-01-03 00:15:00,241.35,0.001,0.24,0.13,0.0595
node1,residential,2025-01-03 00:30:00,225.27,0.002,0.48,0.25,0.1192
node1,residential,2025-01-03 00:45:00,228.68,0.002,0.45,0.23,0.1116
node1,residential,2025-01-03 01:00:00,234.45,0.001,0.32,0.14,0.0808
node1,residential,2025-01-03 01:15:00,235.42,0.001,0.31,0.16,0.0763
node1,residential,2025-01-03 01:30:00,231.41,0.002,0.47,0.2,0.1178
node1,residential,2025-01-03 01:45:00,227.24,0.001,0.22,0.14,0.0562
node1,residential,2025-01-03 02:00:00,239.08,0.001,0.29,0.18,0.073
node1,residential,2025-01-03 02:15:00,226.65,0.001,0.27,0.14,0.0687
node1,residential,2025-01-03 02:30:00,232.65,0.001,0.33,0.12,0.0823
node1,residential,2025-01-03 02:45:00,231.73,0.002,0.38,0.2,0.0945
node1,residential,2025-01-03 03:00:00,238.68,0.002,0.44,0.21,0.1107
node1,residential,2025-01-03 03:15:00,230.01,0.002,0.47,0.21,0.1166
node1,residential,2025-01-03 03:30:00,237.13,0.001,0.24,0.15,0.0597
node1,residential,2025-01-03 03:45:00,240.95,0.002,0.43,0.21,0.1083
node1,residential,2025-01-03 04:00:00,238.19,0.001,0.28,0.08,0.0695
node1,residential,2025-01-03 04:15:00,229.7,0.002,0.37,0.2,0.0936
node1,residential,2025-01-03 04:30:00,233.65,0.001,0.3,0.15,0.0749
node1,residential,2025-01-03 04:45:00,222.04,0.002,0.45,0.21,0.1132
node1,residential,2025-01-03 05:00:00,239.33,0.002,0.5,0.23,0.1242
node1,residential,2025-01-03 05:15:00,226.14,0.002,0.48,0.24,0.1204
node1,residential,2025-01-03 05:30:00,235.92,0.001,0.32,0.18,0.0798
node1,residential,2025-01-03 05:45:00,229.95,0.001,0.23,0.07,0.0566
node1,residential,2025-01-03 06:00:00,238.06,0.003,0.8,0.36,0.2007
node1,residential,2025-01-03 06:15:00,222.67,0.005,1.01,0.52,0.2531
node1,residential,2025-01-03 06:30:00,234.23,0.003,0.8,0.36,0.2003
node1,residential,2025-01-03 06:45:00,220.6,0.005,1.04,0.49,0.2598
node1,residential,2025-01-03 07:00:00,234.64,0.005,1.06,0.53,0.2647
node1,residential,2025-01-03 07:15:00,222.34,0.005,1.05,0.5,0.2619
node1,residential,2025-01-03 07:30:00,231.66,0.004,0.93,0.43,0.2314
node1,residential,2025-01-03 07:45:00,240.44,0.005,1.13,0.55,0.2824
node1,residential,2025-01-03 08:00:00,231.51,0.004,0.9,0.42,0.2251
node1,residential,2025-01-03 08:15:00,233.5,0.004,0.95,0.46,0.2364
node1,residential,2025-01-03 08:30:00,219.95,0.005,1.09,0.51,0.2721
node1,residential,2025-01-03 08:45:00,233.81,0.004,0.97,0.47,0.2423
node1,residential,2025-01-03 09:00:00,222.88,0.002,0.49,0.21,0.1217
node1,residential,2025-01-03 09:15:00,232.36,0.001,0.21,0.11,0.0527
node1,residential,2025-01-03 09:30:00,222.65,0.002,0.36,0.16,0.0904
node1,residential,2025-01-03 09:45:00,239.02,0.001,0.23,0.1,0.0574
node1,residential,2025-01-03 10:00:00,220.39,0.002,0.44,0.2,0.1102
node1,residential,2025-01-03 10:15:00,229.13,0.001,0.28,0.18,0.0692
node1,residential,2025-01-03 10:30:00,228.89,0.002,0.44,0.19,0.1099
node1,residential,2025-01-03 10:45:00,238.94,0.002,0.36,0.13,0.0901
node1,residential,2025-01-03 11:00:00,241.02,0.002,0.49,0.22,0.1215
node1,residential,2025-01-03 11:15:00,234.51,0.002,0.36,0.17,0.09
node1,residential,2025-01-03 11:30:00,233.77,0.002,0.43,0.2,0.1078
node1,residential,2025-01-03 11:45:00,230.8,0.002,0.41,0.2,0.1031
node1,residential,2025-01-03 12:00:00,239.72,0.001,0.24,0.08,0.06
node1,residential,2025-01-03 12:15:00,220.89,0.001,0.22,0.07,0.0538
node1,residential,2025-01-03 12:30:00,236.04,0.001,0.26,0.14,0.0649
node1,residential,2025-01-03 12:45:00,234.19,0.001,0.25,0.14,0.0615
node1,residential,2025-01-03 13:00:00,238.08,0.002,0.44,0.26,0.111
node1,residential,2025-01-03 13:15:00,232.27,0.001,0.24,0.14,0.0606
node1,residential,2025-01-03 13:30:00,223.11,0.002,0.41,0.2,0.1035
node1,residential,2025-01-03 13:45:00,230.16,0.001,0.21,0.12,0.052
node1,residential,2025-01-03 14:00:00,227.72,0.001,0.28,0.12,0.0696
node1,residential,2025-01-03 14:15:00,227.36,0.001,0.32,0.13,0.0801
node1,residential,2025-01-03 14:30:00,241.39,0.002,0.44,0.21,0.1088
node1,residential,2025-01-03 14:45:00,231.01,0.001,0.31,0.15,0.0774
node1,residential,2025-01-03 15:00:00,229.36,0.001,0.32,0.18,0.0803
node1,residential,2025-01-03 15:15:00,223.74,0.001,0.24,0.12,0.0603
node1,residential,2025-01-03 15:30:00,228.76,0.001,0.29,0.15,0.0725
node1,residential,2025-01-03 15:45:00,229.38,0.002,0.43,0.22,0.1074
node1,residential,2025-01-03 16:00:00,237.93,0.001,0.2,0.12,0.0507
node1,residential,2025-01-03 16:15:00,219.0,0.002,0.35,0.14,0.0874
node1,residential,2025-01-03 16:30:00,230.46,0.001,0.33,0.13,0.0825
node1,residential,2025-01-03 16:45:00,234.63,0.002,0.43,0.19,0.1083
node1,residential,2025-01-03 17:00:00,221.68,0.002,0.47,0.23,0.1174
node1,residential,2025-01-03 17:15:00,236.84,0.002,0.47,0.21,0.1179
node1,residential,2025-01-03 17:30:00,226.45,0.001,0.25,0.13,0.063
node1,residential,2025-01-03 17:45:00,233.89,0.002,0.36,0.18,0.0896
node1,residential,2025-01-03 18:00:00,234.14,0.006,1.33,0.65,0.3333
node1,residential,2025-01-03 18:15:00,229.75,0.005,1.23,0.61,0.3086
node1,residential,2025-01-03 18:30:00,224.65,0.006,1.32,0.61,0.3303
node1,residential,2025-01-03 18:45:00,233.1,0.004,1.03,0.48,0.258
node1,residential,2025-01-03 19:00:00,227.72,0.006,1.48,0.72,0.369
node1,residential,2025-01-03 19:15:00,236.24,0.005,1.15,0.57,0.2873
node1,residential,2025-01-03 19:30:00,227.24,0.007,1.5,0.73,0.3739
node1,residential,2025-01-03 19:45:00,234.91,0.005,1.15,0.57,0.2872
node1,residential,2025-01-03 20:00:00,224.28,0.004,1.01,0.48,0.2523
node1,residential,2025-01-03 20:15:00,220.83,0.005,1.16,0.56,0.2911
node1,residential,2025-01-03 20:30:00,236.15,0.004,0.97,0.47,0.2422
node1,residential,2025-01-03 20:45:00,232.12,0.006,1.33,0.65,0.3332
node1,residential,2025-01-03 21:00:00,235.7,0.004,1.04,0.49,0.2608
node1,residential,2025-01-03 21:15:00,219.16,0.006,1.33,0.66,0.3334
node1,residential,2025-01-03 21:30:00,228.11,0.004,0.97,0.46,0.2422
node1,residential,2025-01-03 21:45:00,225.18,0.006,1.4,0.68,0.3512
node1,residential,2025-01-03 22:00:00,232.8,0.002,0.5,0.27,0.1242
node1,residential,2025-01-03 22:15:00,221.24,0.001,0.24,0.15,0.0598
node1,residential,2025-01-03 22:30:00,233.15,0.001,0.31,0.13,0.0781
node1,residential,2025-01-03 22:45:00,236.51,0.002,0.43,0.23,0.1067
node1,residential,2025-01-03 23:00:00,227.06,0.002,0.41,0.23,0.1033
node1,residential,2025-01-03 23:15:00,225.12,0.001,0.3,0.16,0.0749
node1,residential,2025-01-03 23:30:00,223.48,0.002,0.49,0.23,0.1221
node1,residential,2025-01-03 23:45:00,229.96,0.002,0.38,0.18,0.0959
node1,residential,2025-01-04 00:00:00,240.93,0.001,0.31,0.15,0.0785
node1,residential,2025-01-04 00:15:00,218.84,0.002,0.34,0.17,0.0847
node1,residential,2025-01-04 00:30:00,222.05,0.001,0.28,0.16,0.0709
node1,residential,2025-01-04 00:45:00,240.29,0.002,0.37,0.16,0.0924
node1,residential,2025-01-04 01:00:00,238.93,0.001,0.33,0.18,0.0837
node1,residential,2025-01-04 01:15:00,238.39,0.001,0.35,0.15,0.088
node1,residential,2025-01-04 01:30:00,230.16,0.002,0.44,0.2,0.1101
node1,residential,2025-01-04 01:45:00,237.98,0.001,0.31,0.14,0.0777
node1,residential,2025-01-04 02:00:00,239.47,0.001,0.22,0.12,0.0562
node1,residential,2025-01-04 02:15:00,218.75,0.001,0.25,0.15,0.0625
node1,residential,2025-01-04 02:30:00,224.14,0.002,0.44,0.2,0.1088
node1,residential,2025-01-04 02:45:00,239.22,0.002,0.44,0.23,0.1092
node1,residential,2025-01-04 03:00:00,219.04,0.001,0.26,0.12,0.0649
node1,residential,2025-01-04 03:15:00,219.01,0.001,0.21,0.09,0.0513
node1,residential,2025-01-04 03:30:00,224.09,0.002,0.45,0.19,0.1115
node1,residential,2025-01-04 03:45:00,221.9,0.001,0.28,0.14,0.0695
node1,residential,2025-01-04 04:00:00,240.45,0.001,0.27,0.11,0.0669
node1,residential,2025-01-04 04:15:00,232.59,0.002,0.37,0.2,0.0935
node1,residential,2025-01-04 04:30:00,229.77,0.002,0.34,0.15,0.0862
node1,residential,2025-01-04 04:45:00,226.88,0.002,0.45,0.23,0.1117
node1,residential,2025-01-04 05:00:00,220.88,0.002,0.46,0.24,0.1155
node1,residential,2025-01-04 05:15:00,239.23,0.001,0.21,0.04,0.0524
node1,residential,2025-01-04 05:30:00,221.97,0.002,0.49,0.24,0.1215
node1,residential,2025-01-04 05:45:00,237.55,0.002,0.46,0.22,0.1156
node1,residential,2025-01-04 06:00:00,240.07,0.004,0.99,0.48,0.2486
node1,residential,2025-01-04 06:15:00,228.52,0.005,1.05,0.49,0.2627
node1,residential,2025-01-04 06:30:00,241.14,0.005,1.11,0.52,0.277
node1,residential,2025-01-04 06:45:00,230.16,0.005,1.13,0.55,0.2814
node1,residential,2025-01-04 07:00:00,218.81,0.005,1.0,0.49,0.2495
node1,residential,2025-01-04 07:15:00,236.23,0.005,1.1,0.54,0.2761
node1,residential,2025-01-04 07:30:00,238.97,0.005,1.12,0.54,0.2802
node1,residential,2025-01-04 07:45:00,225.31,0.004,0.9,0.44,0.2261
node1,residential,2025-01-04 08:00:00,237.15,0.004,0.88,0.42,0.2203
node1,residential,2025-01-04 08:15:00,233.47,0.004,0.98,0.49,0.2462
node1,residential,2025-01-04 08:30:00,219.96,0.005,1.14,0.52,0.2851
node1,residential,2025-01-04 08:45:00,237.31,0.004,0.99,0.49,0.2486
node1,residential,2025-01-04 09:00:00,223.48,0.002,0.49,0.24,0.1215
node1,residential,2025-01-04 09:15:00,239.36,0.002,0.38,0.18,0.0962
node1,residential,2025-01-04 09:30:00,238.52,0.001,0.34,0.21,0.0852
node1,residential,2025-01-04 09:45:00,233.59,0.001,0.28,0.13,0.0692
node1,residential,2025-01-04 10:00:00,237.65,0.001,0.22,0.12,0.0556
node1,residential,2025-01-04 10:15:00,225.51,0.001,0.24,0.14,0.0606
node1,residential,2025-01-04 10:30:00,222.36,0.001,0.27,0.12,0.0674
node1,residential,2025-01-04 10:45:00,221.73,0.002,0.4,0.16,0.0993
node1,residential,2025-01-04 11:00:00,226.73,0.002,0.43,0.18,0.1087
node1,residential,2025-01-04 11:15:00,233.83,0.002,0.36,0.17,0.0893
node1,residential,2025-01-04 11:30:00,221.01,0.002,0.49,0.23,0.1222
node1,residential,2025-01-04 11:45:00,222.63,0.002,0.48,0.21,0.1203
node1,residential,2025-01-04 12:00:00,226.15,0.002,0.37,0.18,0.092
node1,residential,2025-01-04 12:15:00,232.38,0.001,0.3,0.16,0.0761
node1,residential,2025-01-04 12:30:00,241.09,0.001,0.32,0.17,0.0809
node1,residential,2025-01-04 12:45:00,223.14,0.002,0.4,0.2,0.1002
node1,residential,2025-01-04 13:00:00,218.62,0.002,0.36,0.17,0.091
node1,residential,2025-01-04 13:15:00,234.48,0.001,0.24,0.13,0.061
node1,residential,2025-01-04 13:30:00,231.74,0.002,0.46,0.21,0.1154
node1,residential,2025-01-04 13:45:00,220.79,0.001,0.24,0.13,0.0603
node1,residential,2025-01-04 14:00:00,231.2,0.001,0.31,0.17,0.0771
node1,residential,2025-01-04 14:15:00,219.1,0.001,0.2,0.12,0.0507
node1,residential,2025-01-04 14:30:00,226.78,0.001,0.29,0.16,0.073
node1,residential,2025-01-04 14:45:00,237.85,0.001,0.34,0.14,0.0859
node1,residential,2025-01-04 15:00:00,224.65,0.002,0.48,0.25,0.1193
