Day,Hour,Converged,V_650_pu,V_632_pu,V_633_pu,V_645_pu,V_646_pu,V_671HV_pu,V_684HV_pu,V_692HV_pu,V_675_pu,V_680_pu,V_611_pu,V_634_pu,V_671_pu,V_684_pu,V_692_pu,Res_kW,Com_kW,Ind_kW,Crit_kW,Total_Load_kW,Solar_kW,Wind_kW,Total_DER_kW,Solar_Irr_pu,Net_Import_kW,Loss_kW,L_Main_kW,L_671_kW,L_684_kW,L_692_kW,L_675_kW,L_680_kW
1,19,1,0.98922,0.97814,0.97488,0.97814,0.97814,0.97359,0.97304,0.97259,0.97259,0.97508,0.97304,0.95179,0.95732,0.96391,0.94748,1472.05,320.41,786.36,400.0,2978.82,24.0,631.39,655.39,0.02,2323.43,55.792,792.56,288.59,99.67,133.99,0.16,210.17
1,20,1,0.99016,0.98012,0.97691,0.98012,0.98012,0.97651,0.97616,0.9755,0.9755,0.97808,0.97616,0.9542,0.96185,0.97039,0.95032,1451.88,201.48,712.29,400.0,2765.65,0.1,671.99,672.09,0.0,2093.56,48.254,710.07,214.3,63.41,134.92,0.0,223.67
1,21,1,0.99096,0.98171,0.97867,0.98171,0.98171,0.97854,0.97834,0.97754,0.97754,0.97995,0.97834,0.95715,0.96543,0.97496,0.95241,1380.94,117.76,640.36,400.0,2539.06,0.1,602.73,602.83,0.0,1936.23,41.911,657.5,186.83,37.37,134.91,0.0,200.65
1,22,1,0.99219,0.98423,0.98175,0.98423,0.98423,0.98125,0.98108,0.98025,0.98025,0.98261,0.98108,0.96416,0.9689,0.97831,0.9552,1140.21,96.3,605.78,400.0,2242.29,0.1,582.3,582.4,0.0,1659.89,31.969,562.64,175.29,30.76,134.9,0.0,193.86
1,23,1,0.99373,0.98743,0.98565,0.98743,0.98743,0.98469,0.98455,0.98369,0.98369,0.98608,0.98455,0.97307,0.97289,0.9823,0.95874,825.92,77.96,581.19,400.0,1885.07,0.1,599.27,599.37,0.0,1285.7,21.964,435.03,155.6,25.1,134.89,0.0,199.5
2,0,1,0.99458,0.98914,0.98785,0.98914,0.98914,0.98629,0.98614,0.98529,0.98529,0.98754,0.98614,0.97875,0.97488,0.98377,0.96039,602.83,82.01,563.22,400.0,1648.06,0.1,539.5,539.6,0.0,1108.46,17.347,374.43,170.83,26.49,134.88,0.0,179.63
2,1,1,0.99509,0.99025,0.98913,0.99025,0.99025,0.98764,0.98749,0.98664,0.98664,0.98899,0.98749,0.98125,0.97674,0.98513,0.96177,523.61,81.58,539.09,400.0,1544.28,0.1,583.95,584.05,0.0,960.23,15.145,324.36,147.78,26.42,134.88,0.0,194.41
2,2,1,0.9955,0.9912,0.99023,0.9912,0.9912,0.98883,0.98869,0.98783,0.98783,0.99041,0.98869,0.98339,0.97758,0.98644,0.963,455.53,77.66,557.06,400.0,1490.25,0.1,683.24,683.34,0.0,806.91,13.924,272.99,119.57,25.22,134.89,0.0,227.42
2,3,1,0.9957,0.99162,0.99072,0.99162,0.99162,0.98936,0.98922,0.98836,0.98836,0.99097,0.98922,0.98433,0.97843,0.98695,0.96354,425.9,78.22,541.81,400.0,1445.93,0.1,694.34,694.44,0.0,751.49,13.193,254.27,110.92,25.42,134.88,0.0,231.11
2,4,1,0.99544,0.99102,0.9901,0.99102,0.99102,0.98843,0.98828,0.98743,0.98743,0.98989,0.98828,0.98364,0.97696,0.98589,0.96259,430.56,82.37,567.29,400.0,1480.22,0.1,631.03,631.13,0.0,849.09,14.081,286.95,141.87,26.72,134.85,0.0,210.05
2,5,1,0.99498,0.99003,0.98903,0.99003,0.99003,0.98706,0.98689,0.98607,0.98607,0.98845,0.98689,0.98202,0.97464,0.98403,0.96119,466.54,98.67,613.0,400.0,1578.21,24.0,597.06,621.06,0.02,957.15,16.004,331.18,173.72,31.89,134.71,0.16,198.76
2,6,1,0.99321,0.98627,0.98478,0.98627,0.98627,0.98229,0.98202,0.98131,0.98134,0.98345,0.98202,0.97431,0.96749,0.97754,0.9563,689.63,155.45,723.66,400.0,1968.74,120.0,496.39,616.39,0.1,1352.35,24.915,492.76,258.82,49.62,130.88,4.0,165.28
2,7,1,0.99117,0.98208,0.98019,0.98208,0.98208,0.97679,0.97625,0.97597,0.9762,0.97776,0.97625,0.96679,0.95883,0.96719,0.95081,873.55,316.54,868.12,400.0,2458.21,360.0,412.12,772.12,0.3,1686.09,38.416,651.97,353.91,99.13,98.86,35.99,137.24
2,8,1,0.98972,0.97937,0.97724,0.97937,0.97937,0.97328,0.97237,0.97289,0.97366,0.97416,0.97237,0.96217,0.95278,0.95737,0.94777,976.37,527.79,982.75,400.0,2886.91,660.0,373.05,1033.05,0.55,1853.86,49.616,718.11,383.91,162.42,13.24,120.9,124.24
2,9,1,0.98969,0.97962,0.97788,0.97962,0.97962,0.97305,0.97185,0.97318,0.97461,0.97374,0.97185,0.96554,0.95061,0.95202,0.94806,803.75,699.06,1071.64,400.0,2974.45,900.0,295.54,1195.54,0.75,1778.91,51.401,662.68,387.38,213.23,90.4,224.67,98.45
2,10,1,0.99001,0.98067,0.97909,0.98067,0.98067,0.97451,0.97323,0.97515,0.9772,0.97526,0.97323,0.96787,0.95104,0.95182,0.94996,733.14,754.11,1121.17,400.0,3008.42,1080.0,317.85,1397.85,0.9,1610.57,50.258,566.01,315.45,230.1,188.32,323.3,105.87
2,11,1,0.99042,0.98179,0.98022,0.98179,0.98179,0.9763,0.97494,0.97724,0.97967,0.97717,0.97494,0.96911,0.95387,0.95226,0.95211,727.24,797.94,1075.41,400.0,3000.59,1176.0,368.35,1544.35,0.98,1456.24,47.971,484.45,236.65,243.85,248.08,383.21,122.69
2,12,1,0.99055,0.98215,0.98054,0.98215,0.98215,0.97696,0.97566,0.97797,0.9805,0.97789,0.97566,0.96917,0.95426,0.95398,0.95286,743.88,761.75,1088.28,400.0,2993.91,1200.0,396.46,1596.46,1.0,1397.45,47.068,458.69,205.49,233.51,263.78,398.96,132.04
2,13,1,0.99013,0.98127,0.97958,0.98127,0.98127,0.97578,0.97442,0.97671,0.97914,0.97681,0.97442,0.96764,0.95227,0.95176,0.95157,779.84,797.57,1124.37,400.0,3101.78,1176.0,439.53,1615.53,0.98,1486.25,50.453,495.02,229.26,243.48,248.07,383.2,146.37
2,14,1,0.99039,0.98166,0.98,0.98166,0.98166,0.97625,0.97492,0.97696,0.9791,0.97738,0.97492,0.96826,0.95387,0.95283,0.95182,767.42,777.12,1072.67,400.0,3017.21,1104.0,480.72,1584.72,0.92,1432.49,47.431,498.88,237.42,237.7,202.79,337.82,160.07
2,15,1,0.99008,0.98075,0.97903,0.98075,0.98075,0.97488,0.97359,0.97517,0.9768,0.9761,0.97359,0.96681,0.95255,0.95204,0.94999,797.29,758.79,1069.45,400.0,3025.53,960.0,517.05,1477.05,0.8,1548.48,48.866,572.74,300.55,231.65,120.69,255.57,172.15
2,16,1,0.9898,0.97981,0.97797,0.97981,0.97981,0.97353,0.97233,0.97325,0.97417,0.9749,0.97233,0.96491,0.95142,0.95237,0.94812,850.1,703.13,1057.44,400.0,3010.67,720.0,583.31,1303.31,0.6,1707.36,50.826,659.61,368.77,214.64,9.61,143.86,194.18
2,17,1,0.98892,0.97762,0.97526,0.97762,0.97762,0.97105,0.96996,0.97029,0.97061,0.97236,0.96996,0.95858,0.95026,0.952,0.94525,1075.94,634.03,993.76,400.0,3103.73,420.0,556.07,976.07,0.35,2127.66,58.242,798.39,429.16,193.22,84.45,48.98,185.12
2,18,1,0.98921,0.97813,0.97535,0.97813,0.97813,0.97263,0.97183,0.97164,0.97167,0.97413,0.97183,0.95566,0.95435,0.95855,0.94656,1263.47,467.03,879.04,400.0,3009.54,120.0,636.79,756.79,0.1,2252.75,55.258,791.66,358.88,143.96,129.87,4.0,211.96
2,19,1,0.98945,0.97869,0.9754,0.97869,0.97869,0.97453,0.97397,0.97352,0.97352,0.9762,0.97397,0.95208,0.95895,0.96481,0.94839,1486.71,321.32,754.47,400.0,2962.5,24.0,710.26,734.26,0.02,2228.24,53.982,760.67,252.14,100.14,134.26,0.16,236.38
2,20,1,0.99033,0.98054,0.97732,0.98054,0.98054,0.97719,0.97683,0.97618,0.97618,0.97893,0.97683,0.95452,0.96284,0.97094,0.95102,1457.62,205.58,697.95,400.0,2761.15,0.1,742.79,742.89,0.0,2018.26,47.15,684.6,187.19,64.78,134.91,0.0,247.2
2,21,1,0.9912,0.98226,0.97931,0.98226,0.98226,0.97922,0.97901,0.97822,0.97822,0.98075,0.97901,0.95842,0.96607,0.97554,0.95312,1343.17,121.02,642.76,400.0,2506.95,0.1,652.06,652.16,0.0,1854.79,39.964,629.69,172.27,38.45,134.91,0.0,217.05
2,22,1,0.99221,0.98424,0.98177,0.98424,0.98424,0.98123,0.98106,0.98022,0.98022,0.98253,0.98106,0.96426,0.96912,0.97826,0.95518,1135.23,97.01,593.98,400.0,2226.22,0.1,556.31,556.41,0.0,1669.81,31.775,565.86,180.19,30.99,134.9,0.0,185.22
2,23,1,0.9936,0.98711,0.98533,0.98711,0.98711,0.9842,0.98406,0.9832,0.9832,0.98548,0.98406,0.97271,0.97239,0.98171,0.95824,828.35,81.36,581.48,400.0,1891.19,0.1,548.09,548.19,0.0,1343.0,22.523,454.24,173.84,26.16,134.89,0.0,182.48
3,0,1,0.9947,0.98943,0.98812,0.98943,0.98943,0.9868,0.98666,0.9858,0.9858,0.98815,0.98666,0.97882,0.97573,0.98441,0.96091,615.27,77.62,547.17,400.0,1640.06,0.1,582.71,582.81,0.0,1057.25,16.85,357.27,149.61,25.1,134.88,0.0,194.0
3,1,1,0.99507,0.99022,0.98912,0.99022,0.99022,0.98757,0.98743,0.98657,0.98657,0.98893,0.98743,0.98134,0.97635,0.98514,0.9617,516.49,79.01,554.9,400.0,1550.4,0.1,589.31,589.41,0.0,960.99,15.299,324.73,150.52,25.59,134.89,0.0,196.2
3,2,1,0.99538,0.99089,0.98991,0.99089,0.99089,0.98835,0.98821,0.98735,0.98735,0.98977,0.98821,0.98302,0.97729,0.98594,0.9625,459.01,78.17,547.25,400.0,1484.43,0.1,612.97,613.07,0.0,871.36,14.124,294.5,139.81,25.36,134.89,0.0,204.06
3,3,1,0.99567,0.99154,0.99064,0.99154,0.99154,0.98923,0.98909,0.98823,0.98823,0.9908,0.98909,0.98426,0.97836,0.98674,0.96341,425.6,80.91,538.64,400.0,1445.15,0.1,677.32,677.42,0.0,767.73,13.227,259.67,116.39,26.29,134.89,0.0,225.45
3,4,1,0.9956,0.99141,0.99051,0.99141,0.99141,0.98903,0.98889,0.98803,0.98803,0.9906,0.98889,0.98414,0.97775,0.98662,0.9632,424.68,78.23,558.64,400.0,1461.55,0.1,678.97,679.07,0.0,782.48,13.557,264.67,121.68,25.41,134.86,0.0,225.99
3,5,1,0.99488,0.98982,0.9888,0.98982,0.98982,0.98678,0.98661,0.98578,0.98578,0.98813,0.98661,0.98165,0.97415,0.98385,0.96089,475.43,95.35,622.33,400.0,1593.11,24.0,580.88,604.88,0.02,988.23,16.421,341.7,181.18,30.8,134.71,0.16,193.38
3,6,1,0.99326,0.9864,0.98494,0.9864,0.9864,0.98245,0.98217,0.98147,0.9815,0.98366,0.98217,0.97465,0.96763,0.97751,0.95646,678.23,161.86,724.58,400.0,1964.67,120.0,514.95,634.95,0.1,1329.72,24.606,485.02,254.99,51.67,130.88,4.0,171.45
3,7,1,0.9911,0.98194,0.98002,0.98194,0.98194,0.97662,0.97606,0.9758,0.97602,0.97759,0.97606,0.96645,0.95865,0.9668,0.95063,884.36,323.84,868.52,400.0,2476.72,360.0,413.86,773.86,0.3,1702.86,38.94,657.49,355.69,101.35,98.86,35.99,137.82
3,8,1,0.98957,0.97906,0.97693,0.97906,0.97906,0.97282,0.97192,0.97243,0.9732,0.97371,0.97192,0.96184,0.95158,0.95688,0.94733,977.19,529.19,1016.71,400.0,2923.09,660.0,376.19,1036.19,0.55,1886.9,51.16,729.3,394.64,162.69,13.11,120.9,125.29
3,9,1,0.98966,0.97957,0.97783,0.97957,0.97957,0.97299,0.97184,0.97313,0.97456,0.97372,0.97184,0.96547,0.94974,0.95283,0.948,805.25,670.24,1109.4,400.0,2984.89,900.0,310.31,1210.31,0.75,1774.58,51.766,662.36,386.53,204.71,90.42,224.67,103.37
3,10,1,0.98983,0.98032,0.97865,0.98032,0.98032,0.97415,0.97285,0.97478,0.97684,0.97493,0.97285,0.96686,0.95043,0.95135,0.94961,769.42,757.88,1131.53,400.0,3058.83,1080.0,333.12,1413.12,0.9,1645.71,51.6,577.7,314.73,231.03,188.42,323.3,110.96
3,11,1,0.9903,0.98156,0.98004,0.98156,0.98156,0.97588,0.97453,0.97681,0.97924,0.97677,0.97453,0.96925,0.95219,0.95211,0.95167,706.5,789.05,1132.61,400.0,3028.16,1176.0,376.82,1552.82,0.98,1475.34,49.39,491.49,250.59,241.02,248.07,383.21,125.5
3,12,1,0.99052,0.98208,0.98048,0.98208,0.98208,0.97686,0.97552,0.97787,0.9804,0.9778,0.97552,0.96915,0.95433,0.95323,0.95276,741.79,783.5,1080.56,400.0,3005.85,1200.0,400.43,1600.43,1.0,1405.42,47.449,460.42,207.91,239.87,263.8,398.97,133.36
3,13,1,0.99026,0.98153,0.97982,0.98153,0.98153,0.97623,0.97489,0.97717,0.97959,0.97727,0.97489,0.96773,0.95331,0.95256,0.95204,789.97,785.38,1097.88,400.0,3073.23,1176.0,443.47,1619.47,0.98,1453.76,49.108,484.46,215.44,240.12,248.07,383.18,147.67
3,14,1,0.99013,0.98113,0.97948,0.98113,0.98113,0.97542,0.97404,0.97612,0.97826,0.97655,0.97404,0.96786,0.95207,0.95117,0.95097,759.48,805.19,1116.19,400.0,3080.86,1104.0,482.16,1586.16,0.92,1494.7,50.071,518.71,259.68,245.53,202.8,337.81,160.54
3,15,1,0.98997,0.9805,0.97877,0.9805,0.9805,0.97451,0.97322,0.9748,0.97643,0.97567,0.97322,0.96648,0.9519,0.95176,0.94963,801.33,756.22,1081.69,400.0,3039.24,960.0,492.35,1452.35,0.8,1586.89,49.748,585.64,311.95,230.72,120.8,255.58,163.94
3,16,1,0.98945,0.97906,0.97713,0.97906,0.97906,0.97253,0.97129,0.97226,0.97317,0.97381,0.9713,0.96349,0.9502,0.95078,0.94716,886.0,723.78,1066.38,400.0,3076.16,720.0,544.19,1264.19,0.6,1811.97,53.814,693.89,390.38,220.27,9.9,143.86,181.18
3,17,1,0.98893,0.97765,0.97532,0.97765,0.97765,0.97105,0.96997,0.9703,0.97061,0.9724,0.96997,0.95882,0.94993,0.95198,0.94526,1064.28,635.12,1009.42,400.0,3108.82,420.0,571.19,991.19,0.35,2117.63,58.294,794.96,429.73,193.54,84.45,48.98,190.15
3,18,1,0.98909,0.97791,0.97511,0.97791,0.97791,0.97236,0.97153,0.97137,0.9714,0.97394,0.97153,0.95526,0.95363,0.95781,0.9463,1273.05,482.66,899.47,400.0,3055.18,120.0,669.64,789.64,0.1,2265.54,56.493,795.61,359.45,148.58,129.79,4.0,222.88
3,19,1,0.98927,0.97827,0.97492,0.97827,0.97827,0.97397,0.97341,0.97297,0.97297,0.97554,0.97341,0.95121,0.95849,0.96416,0.94785,1509.71,324.51,749.47,400.0,2983.69,24.0,665.47,689.47,0.02,2294.22,55.618,782.84,266.1,101.0,134.1,0.16,221.5
3,20,1,0.98988,0.97955,0.97623,0.97955,0.97955,0.97589,0.97555,0.97488,0.97488,0.97749,0.97555,0.95266,0.96081,0.96988,0.94971,1502.85,197.99,731.79,400.0,2832.63,0.1,679.87,679.97,0.0,2152.66,50.943,730.57,217.02,62.25,134.82,0.0,226.29
3,21,1,0.99109,0.98202,0.97903,0.98202,0.98202,0.97892,0.9787,0.97791,0.97791,0.98042,0.9787,0.95789,0.96569,0.97516,0.9528,1358.17,123.28,646.29,400.0,2527.74,0.1,640.59,640.69,0.0,1887.05,40.842,640.69,177.99,39.14,134.91,0.0,213.24
3,22,1,0.99229,0.98445,0.98202,0.98445,0.98445,0.98145,0.98128,0.98045,0.98045,0.98282,0.98128,0.96488,0.96891,0.97854,0.95541,1112.27,95.13,614.77,400.0,2222.17,0.1,588.69,588.79,0.0,1633.38,31.227,553.58,175.83,30.4,134.9,0.0,195.98
3,23,1,0.99388,0.98776,0.98603,0.98776,0.98776,0.98511,0.98498,0.98412,0.98412,0.98655,0.98498,0.97378,0.9735,0.98271,0.95918,805.24,78.49,572.27,400.0,1856.0,0.1,616.0,616.1,0.0,1239.9,21.138,419.5,147.2,25.29,134.89,0.0,205.07
4,0,1,0.99476,0.98952,0.98827,0.98952,0.98952,0.98678,0.98664,0.98579,0.98579,0.98804,0.98664,0.97945,0.97591,0.98431,0.9609,584.91,80.46,537.79,400.0,1603.16,0.1,539.2,539.3,0.0,1063.86,16.438,359.3,161.86,26.01,134.88,0.0,179.53
4,1,1,0.99515,0.9904,0.98929,0.9904,0.9904,0.98787,0.98772,0.98687,0.98687,0.98929,0.98772,0.98146,0.97696,0.98534,0.96201,520.29,82.25,540.12,400.0,1542.66,0.1,611.89,611.99,0.0,930.67,14.961,314.49,139.07,26.65,134.9,0.0,203.71
4,2,1,0.99543,0.991,0.99002,0.991,0.991,0.98853,0.98839,0.98754,0.98754,0.99,0.98839,0.98309,0.97765,0.986,0.96269,461.5,82.17,539.25,400.0,1482.92,0.1,631.42,631.52,0.0,851.4,13.953,287.75,132.26,26.66,134.89,0.0,210.2
4,3,1,0.9957,0.99163,0.99076,0.99163,0.99163,0.98931,0.98916,0.98831,0.98831,0.99093,0.98916,0.98461,0.97805,0.98681,0.96349,410.26,81.22,557.68,400.0,1449.16,0.1,701.9,702.0,0.0,747.16,13.295,252.83,114.73,26.39,134.88,0.0,233.62
4,4,1,0.99555,0.9913,0.99039,0.9913,0.9913,0.98888,0.98874,0.98789,0.98789,0.99048,0.98874,0.98394,0.97742,0.98635,0.96306,430.06,82.24,567.7,400.0,1480.0,0.1,687.4,687.5,0.0,792.5,13.816,268.04,123.22,26.7,134.86,0.0,228.79
4,5,1,0.99495,0.99,0.98898,0.99,0.99,0.9871,0.98693,0.98611,0.98611,0.98857,0.98693,0.98177,0.9745,0.98407,0.96123,479.94,98.78,621.7,400.0,1600.42,24.0,629.47,653.47,0.02,946.95,16.201,327.84,165.89,31.93,134.71,0.16,209.54
4,6,1,0.99322,0.98627,0.98485,0.98627,0.98627,0.98216,0.98188,0.98118,0.9812,0.98326,0.98188,0.97481,0.9672,0.97722,0.95616,661.43,161.69,730.75,400.0,1953.87,120.0,471.49,591.49,0.1,1362.38,24.917,495.98,271.53,51.58,130.88,4.0,157.0
4,7,1,0.9909,0.9815,0.97949,0.9815,0.9815,0.97612,0.97556,0.9753,0.97553,0.97704,0.97556,0.96529,0.95835,0.96617,0.95012,924.02,328.6,858.7,400.0,2511.32,360.0,387.44,747.44,0.3,1763.88,40.354,678.06,362.57,102.71,98.86,35.99,129.03
4,8,1,0.98965,0.9792,0.97709,0.9792,0.9792,0.97298,0.97211,0.97259,0.97336,0.9738,0.97211,0.96214,0.95186,0.95767,0.94748,968.78,508.14,1011.19,400.0,2888.11,660.0,347.99,1007.99,0.55,1880.12,50.395,727.68,395.93,156.43,13.16,120.9,115.9
4,9,1,0.98968,0.97962,0.97786,0.97962,0.97962,0.9731,0.97193,0.97324,0.97467,0.97387,0.97193,0.96537,0.9503,0.95238,0.94811,813.56,689.04,1088.52,400.0,2991.12,900.0,326.34,1226.34,0.75,1764.78,51.523,658.5,379.91,210.31,90.38,224.67,108.7
4,10,1,0.98991,0.9805,0.9789,0.9805,0.9805,0.97427,0.97296,0.97491,0.97696,0.97507,0.97296,0.9676,0.95058,0.95101,0.94973,737.94,773.42,1130.75,400.0,3042.11,1080.0,336.68,1416.68,0.9,1625.43,51.274,570.22,317.96,235.65,188.39,323.3,112.14
4,11,1,0.99041,0.98174,0.98021,0.98174,0.98174,0.97614,0.97477,0.97707,0.9795,0.97692,0.97477,0.96936,0.95378,0.95193,0.95194,710.11,803.63,1071.83,400.0,2985.57,1176.0,332.95,1508.95,0.98,1476.62,48.058,490.93,248.87,245.43,248.07,383.21,110.9
4,12,1,0.99051,0.98205,0.98047,0.98205,0.98205,0.97676,0.97545,0.97778,0.9803,0.97769,0.97545,0.9693,0.95371,0.95363,0.95266,731.26,767.13,1104.61,400.0,3003.0,1200.0,394.2,1594.2,1.0,1408.8,47.628,462.31,213.33,235.01,263.77,398.95,131.28
4,13,1,0.99012,0.9812,0.97951,0.9812,0.9812,0.97567,0.97429,0.9766,0.97903,0.97663,0.97429,0.96755,0.95268,0.95124,0.95146,781.22,811.18,1100.4,400.0,3092.8,1176.0,407.02,1583.02,0.98,1509.78,50.39,502.07,235.82,247.41,248.08,383.19,135.54
4,14,1,0.99026,0.9814,0.97982,0.9814,0.9814,0.97568,0.97432,0.97639,0.97853,0.97679,0.97432,0.96869,0.95238,0.95158,0.95124,728.13,800.18,1114.62,400.0,3042.93,1104.0,472.6,1576.6,0.92,1466.33,49.136,509.38,261.04,244.19,202.8,337.83,157.37
4,15,1,0.99002,0.98064,0.97892,0.98064,0.98064,0.97469,0.9734,0.97498,0.9766,0.97594,0.9734,0.96678,0.95172,0.95193,0.9498,792.04,755.96,1098.26,400.0,3046.26,960.0,530.78,1490.78,0.8,1555.48,49.653,575.26,304.83,230.73,120.74,255.56,176.71
